time,LC600_value
27.0944,3.4798162573916755
27.0945,3.4798162573916755
27.0946,4.041647870911177
27.0947,3.4798162573916755
27.0948,3.4798162573916755
27.0949,4.603479484430679
27.095,4.603479484430679
27.0951,4.041647870911177
27.0952,4.603479484430679
27.0953,4.603479484430679
27.0954,3.4798162573916755
27.0955,4.041647870911177
27.0956,3.4798162573916755
27.0957,4.041647870911177
27.0958,4.041647870911177
27.0959,4.041647870911177
27.096,4.041647870911177
27.0961,3.4798162573916755
27.0962,4.041647870911177
27.0963,3.4798162573916755
27.0964,3.4798162573916755
27.0965,4.041647870911177
27.0966,3.4798162573916755
27.0967,3.4798162573916755
27.0968,3.4798162573916755
27.0969,3.4798162573916755
27.097,2.917984643872174
27.0971,3.4798162573916755
27.0972,3.4798162573916755
27.0973,2.917984643872174
27.0974,2.917984643872174
27.0975,3.4798162573916755
27.0976,3.4798162573916755
27.0977,3.4798162573916755
27.0978,3.4798162573916755
27.0979,2.917984643872174
27.098,3.4798162573916755
27.0981,4.041647870911177
27.0982,3.4798162573916755
27.0983,2.917984643872174
27.0984,3.4798162573916755
27.0985,3.4798162573916755
27.0986,2.917984643872174
27.0987,2.917984643872174
27.0988,2.917984643872174
27.0989,4.041647870911177
27.099,2.3561530303526723
27.0991,4.041647870911177
27.0992,3.4798162573916755
27.0993,4.041647870911177
27.0994,4.041647870911177
27.0995,3.4798162573916755
27.0996,2.917984643872174
27.0997,2.917984643872174
27.0998,2.917984643872174
27.0999,3.4798162573916755
27.1,3.4798162573916755
27.1001,2.917984643872174
27.1002,2.917984643872174
27.1003,3.4798162573916755
27.1004,4.041647870911177
27.1005,3.4798162573916755
27.1006,4.041647870911177
27.1007,2.917984643872174
27.1008,2.917984643872174
27.1009,2.917984643872174
27.101,3.4798162573916755
27.1011,3.4798162573916755
27.1012,2.917984643872174
27.1013,3.4798162573916755
27.1014,3.4798162573916755
27.1015,3.4798162573916755
27.1016,3.4798162573916755
27.1017,4.041647870911177
27.1018,3.4798162573916755
27.1019,3.4798162573916755
27.102,3.4798162573916755
27.1021,4.041647870911177
27.1022,3.4798162573916755
27.1023,4.041647870911177
27.1024,4.603479484430679
27.1025,4.603479484430679
27.1026,4.041647870911177
27.1027,4.041647870911177
27.1028,4.603479484430679
27.1029,4.603479484430679
27.103,3.4798162573916755
27.1031,4.041647870911177
27.1032,4.603479484430679
27.1033,3.4798162573916755
27.1034,3.4798162573916755
27.1035,3.4798162573916755
27.1036,2.917984643872174
27.1037,3.4798162573916755
27.1038,4.041647870911177
27.1039,4.603479484430679
27.104,4.603479484430679
27.1041,4.603479484430679
27.1042,4.603479484430679
27.1043,4.603479484430679
27.1044,4.603479484430679
27.1045,5.165311097950191
27.1046,4.603479484430679
27.1047,4.603479484430679
27.1048,4.041647870911177
27.1049,3.4798162573916755
27.105,3.4798162573916755
27.1051,3.4798162573916755
27.1052,4.041647870911177
27.1053,5.165311097950191
27.1054,3.4798162573916755
27.1055,3.4798162573916755
27.1056,3.4798162573916755
27.1057,4.041647870911177
27.1058,4.041647870911177
27.1059,4.603479484430679
27.106,3.4798162573916755
27.1061,2.917984643872174
27.1062,2.3561530303526723
27.1063,3.4798162573916755
27.1064,3.4798162573916755
27.1065,4.041647870911177
27.1066,3.4798162573916755
27.1067,3.4798162573916755
27.1068,3.4798162573916755
27.1069,4.041647870911177
27.107,4.041647870911177
27.1071,4.603479484430679
27.1072,4.603479484430679
27.1073,4.041647870911177
27.1074,4.041647870911177
27.1075,3.4798162573916755
27.1076,3.4798162573916755
27.1077,2.917984643872174
27.1078,3.4798162573916755
27.1079,4.041647870911177
27.108,4.041647870911177
27.1081,3.4798162573916755
27.1082,3.4798162573916755
27.1083,3.4798162573916755
27.1084,4.041647870911177
27.1085,4.041647870911177
27.1086,4.603479484430679
27.1087,4.603479484430679
27.1088,4.603479484430679
27.1089,4.041647870911177
27.109,4.041647870911177
27.1091,3.4798162573916755
27.1092,3.4798162573916755
27.1093,2.917984643872174
27.1094,3.4798162573916755
27.1095,3.4798162573916755
27.1096,3.4798162573916755
27.1097,4.041647870911177
27.1098,4.041647870911177
27.1099,3.4798162573916755
27.11,4.041647870911177
27.1101,4.041647870911177
27.1102,2.917984643872174
27.1103,2.917984643872174
27.1104,4.041647870911177
27.1105,4.041647870911177
27.1106,4.041647870911177
27.1107,3.4798162573916755
27.1108,4.603479484430679
27.1109,4.041647870911177
27.111,4.603479484430679
27.1111,4.041647870911177
27.1112,4.603479484430679
27.1113,4.041647870911177
27.1114,4.041647870911177
27.1115,3.4798162573916755
27.1116,3.4798162573916755
27.1117,4.041647870911177
27.1118,3.4798162573916755
27.1119,3.4798162573916755
27.112,2.917984643872174
27.1121,4.041647870911177
27.1122,3.4798162573916755
27.1123,4.041647870911177
27.1124,4.041647870911177
27.1125,3.4798162573916755
27.1126,3.4798162573916755
27.1127,4.041647870911177
27.1128,4.041647870911177
27.1129,4.041647870911177
27.113,3.4798162573916755
27.1131,4.041647870911177
27.1132,3.4798162573916755
27.1133,4.041647870911177
27.1134,4.041647870911177
27.1135,4.603479484430679
27.1136,3.4798162573916755
27.1137,4.041647870911177
27.1138,3.4798162573916755
27.1139,4.041647870911177
27.114,4.041647870911177
27.1141,4.041647870911177
27.1142,4.041647870911177
27.1143,4.041647870911177
27.1144,4.041647870911177
27.1145,4.603479484430679
27.1146,3.4798162573916755
27.1147,3.4798162573916755
27.1148,3.4798162573916755
27.1149,3.4798162573916755
27.115,3.4798162573916755
27.1151,4.041647870911177
27.1152,2.917984643872174
27.1153,3.4798162573916755
27.1154,4.041647870911177
27.1155,4.041647870911177
27.1156,4.603479484430679
27.1157,4.041647870911177
27.1158,4.041647870911177
27.1159,4.603479484430679
27.116,3.4798162573916755
27.1161,4.041647870911177
27.1162,3.4798162573916755
27.1163,4.041647870911177
27.1164,3.4798162573916755
27.1165,2.917984643872174
27.1166,3.4798162573916755
27.1167,4.041647870911177
27.1168,3.4798162573916755
27.1169,4.603479484430679
27.117,4.603479484430679
27.1171,3.4798162573916755
27.1172,3.4798162573916755
27.1173,3.4798162573916755
27.1174,4.041647870911177
27.1175,4.603479484430679
27.1176,4.041647870911177
27.1177,4.041647870911177
27.1178,4.603479484430679
27.1179,4.041647870911177
27.118,4.041647870911177
27.1181,4.041647870911177
27.1182,4.603479484430679
27.1183,2.917984643872174
27.1184,3.4798162573916755
27.1185,4.041647870911177
27.1186,3.4798162573916755
27.1187,3.4798162573916755
27.1188,4.041647870911177
27.1189,4.603479484430679
27.119,4.041647870911177
27.1191,5.165311097950191
27.1192,4.041647870911177
27.1193,4.041647870911177
27.1194,4.603479484430679
27.1195,3.4798162573916755
27.1196,4.041647870911177
27.1197,4.041647870911177
27.1198,4.041647870911177
27.1199,4.041647870911177
27.12,4.041647870911177
27.1201,3.4798162573916755
27.1202,5.165311097950191
27.1203,4.041647870911177
27.1204,3.4798162573916755
27.1205,4.603479484430679
27.1206,4.041647870911177
27.1207,4.041647870911177
27.1208,4.603479484430679
27.1209,4.603479484430679
27.121,4.041647870911177
27.1211,3.4798162573916755
27.1212,4.041647870911177
27.1213,4.041647870911177
27.1214,4.041647870911177
27.1215,4.041647870911177
27.1216,4.041647870911177
27.1217,3.4798162573916755
27.1218,4.603479484430679
27.1219,4.041647870911177
27.122,3.4798162573916755
27.1221,2.917984643872174
27.1222,2.917984643872174
27.1223,4.041647870911177
27.1224,3.4798162573916755
27.1225,3.4798162573916755
27.1226,3.4798162573916755
27.1227,4.603479484430679
27.1228,4.603479484430679
27.1229,4.603479484430679
27.123,3.4798162573916755
27.1231,4.041647870911177
27.1232,3.4798162573916755
27.1233,2.917984643872174
27.1234,3.4798162573916755
27.1235,3.4798162573916755
27.1236,3.4798162573916755
27.1237,3.4798162573916755
27.1238,3.4798162573916755
27.1239,3.4798162573916755
27.124,4.041647870911177
27.1241,2.917984643872174
27.1242,3.4798162573916755
27.1243,2.917984643872174
27.1244,2.917984643872174
27.1245,3.4798162573916755
27.1246,4.603479484430679
27.1247,4.041647870911177
27.1248,4.041647870911177
27.1249,3.4798162573916755
27.125,4.603479484430679
27.1251,4.603479484430679
27.1252,4.603479484430679
27.1253,4.041647870911177
27.1254,4.041647870911177
27.1255,4.041647870911177
27.1256,3.4798162573916755
27.1257,4.041647870911177
27.1258,3.4798162573916755
27.1259,3.4798162573916755
27.126,4.041647870911177
27.1261,3.4798162573916755
27.1262,4.041647870911177
27.1263,4.041647870911177
27.1264,4.041647870911177
27.1265,4.041647870911177
27.1266,3.4798162573916755
27.1267,4.603479484430679
27.1268,4.041647870911177
27.1269,4.041647870911177
27.127,4.041647870911177
27.1271,4.603479484430679
27.1272,4.041647870911177
27.1273,4.041647870911177
27.1274,3.4798162573916755
27.1275,4.041647870911177
27.1276,3.4798162573916755
27.1277,3.4798162573916755
27.1278,3.4798162573916755
27.1279,2.917984643872174
27.128,3.4798162573916755
27.1281,3.4798162573916755
27.1282,4.041647870911177
27.1283,4.041647870911177
27.1284,3.4798162573916755
27.1285,4.041647870911177
27.1286,3.4798162573916755
27.1287,3.4798162573916755
27.1288,4.041647870911177
27.1289,3.4798162573916755
27.129,4.041647870911177
27.1291,3.4798162573916755
27.1292,2.917984643872174
27.1293,3.4798162573916755
27.1294,2.917984643872174
27.1295,3.4798162573916755
27.1296,4.041647870911177
27.1297,4.041647870911177
27.1298,4.041647870911177
27.1299,4.041647870911177
27.13,3.4798162573916755
27.1301,4.041647870911177
27.1302,3.4798162573916755
27.1303,4.041647870911177
27.1304,4.603479484430679
27.1305,4.041647870911177
27.1306,4.041647870911177
27.1307,4.041647870911177
27.1308,4.041647870911177
27.1309,4.041647870911177
27.131,4.041647870911177
27.1311,4.603479484430679
27.1312,4.041647870911177
27.1313,3.4798162573916755
27.1314,4.041647870911177
27.1315,4.603479484430679
27.1316,3.4798162573916755
27.1317,4.041647870911177
27.1318,4.041647870911177
27.1319,4.041647870911177
27.132,4.603479484430679
27.1321,5.165311097950191
27.1322,4.603479484430679
27.1323,3.4798162573916755
27.1324,3.4798162573916755
27.1325,4.041647870911177
27.1326,3.4798162573916755
27.1327,3.4798162573916755
27.1328,3.4798162573916755
27.1329,2.917984643872174
27.133,4.041647870911177
27.1331,4.041647870911177
27.1332,4.603479484430679
27.1333,4.603479484430679
27.1334,3.4798162573916755
27.1335,4.041647870911177
27.1336,4.041647870911177
27.1337,3.4798162573916755
27.1338,3.4798162573916755
27.1339,3.4798162573916755
27.134,4.041647870911177
27.1341,5.165311097950191
27.1342,4.603479484430679
27.1343,5.165311097950191
27.1344,4.041647870911177
27.1345,3.4798162573916755
27.1346,4.041647870911177
27.1347,3.4798162573916755
27.1348,2.917984643872174
27.1349,2.917984643872174
27.135,2.917984643872174
27.1351,3.4798162573916755
27.1352,3.4798162573916755
27.1353,4.603479484430679
27.1354,4.603479484430679
27.1355,4.041647870911177
27.1356,3.4798162573916755
27.1357,3.4798162573916755
27.1358,2.917984643872174
27.1359,4.041647870911177
27.136,3.4798162573916755
27.1361,2.3561530303526723
27.1362,3.4798162573916755
27.1363,3.4798162573916755
27.1364,3.4798162573916755
27.1365,2.917984643872174
27.1366,4.041647870911177
27.1367,3.4798162573916755
27.1368,2.3561530303526723
27.1369,3.4798162573916755
27.137,3.4798162573916755
27.1371,4.041647870911177
27.1372,4.041647870911177
27.1373,3.4798162573916755
27.1374,4.041647870911177
27.1375,3.4798162573916755
27.1376,2.917984643872174
27.1377,4.041647870911177
27.1378,3.4798162573916755
27.1379,3.4798162573916755
27.138,4.041647870911177
27.1381,4.041647870911177
27.1382,3.4798162573916755
27.1383,4.041647870911177
27.1384,4.041647870911177
27.1385,4.603479484430679
27.1386,3.4798162573916755
27.1387,3.4798162573916755
27.1388,3.4798162573916755
27.1389,3.4798162573916755
27.139,3.4798162573916755
27.1391,3.4798162573916755
27.1392,4.041647870911177
27.1393,4.041647870911177
27.1394,4.041647870911177
27.1395,4.603479484430679
27.1396,4.603479484430679
27.1397,4.603479484430679
27.1398,4.041647870911177
27.1399,4.041647870911177
27.14,4.041647870911177
