0.9099994, 0, 0, 43.77134, 11.74461, 0, 910.9586, -1360.343, -5.408932, 0.0268742, 0.1849792, 39.13888, 3.10966, 2.44529, 125.1144
 
0.9199994, -0.1801052, 0, 44.30072, 11.75551, 1.341710698309656326176, 939.6901, -1361.09, -5.408932, 0.0268742, 0.1849792, 39.75195, 3.10966, 2.444359, 125.1616
 
0.9299994, -0.1825721, -0.001801052, 44.83221, 11.76766, 1.322413039163469438976, 968.885, -1361.839, -5.408932, 0.0268742, 0.1849792, 40.3654, 3.10966, 2.443428, 125.2088
 
0.9399994, -0.1849993, -0.003626773, 45.36392, 11.7792, 1.303487383085160853216, 998.544, -1362.588, -5.408932, 0.0268742, 0.1849792, 40.97925, 3.10966, 2.442498, 125.256
 
0.9499994, -0.1873843, -0.005476766, 45.89585, 11.79011, 1.284907896528350131296, 1028.668, -1363.339, -5.408932, 0.0268742, 0.1849792, 41.59348, 3.10966, 2.441567, 125.3031
 
0.9599994, -0.1897241, -0.007350609, 46.42989, 11.80227, 1.266652879314077705632, 1059.257, -1364.09, -5.408932, 0.0268742, 0.1849792, 42.2081, 3.10966, 2.440637, 125.3503
 
0.9699994, -0.1920161, -0.00924785, 46.96351, 11.8132, 1.248701664605239226144, 1090.312, -1364.843, -5.408932, 0.0268742, 0.1849792, 42.8231, 3.10966, 2.439706, 125.3975
 
0.9799994, -0.1942573, -0.01116801, 47.49926, 11.82538, 1.231033585564730342752, 1121.834, -1365.597, -5.408932, 0.0268742, 0.1849792, 43.43848, 3.10966, 2.438776, 125.4447
 
0.9899994, -0.1964448, -0.01311058, 48.03458, 11.83631, 1.213630042039157140384, 1153.824, -1366.351, -5.408932, 0.0268742, 0.1849792, 44.05425, 3.10966, 2.437845, 125.4919
 
0.9999993, -0.1985754, -0.01507503, 48.57201, 11.84851, 1.196472433875125703968, 1186.281, -1367.107, -5.408932, 0.0268742, 0.1849792, 44.6704, 3.10966, 2.436914, 125.539
 
1.009999, -0.2006462, -0.01706079, 49.10903, 11.85945, 1.179543194261097335936, 1219.207, -1367.864, -5.408932, 0.0268742, 0.1849792, 45.28692, 3.10966, 2.435984, 125.5862
 
1.019999, -0.2026536, -0.01906725, 49.64815, 11.87166, 1.162826823069243773728, 1252.602, -1368.622, -5.408932, 0.0268742, 0.1849792, 45.9038, 3.10966, 2.435053, 125.6334
 
1.029999, -0.2045953, -0.02109378, 50.18747, 11.88324, 1.146310920197302407296, 1286.466, -1369.38, -5.408932, 0.0268742, 0.1849792, 46.52105, 3.10966, 2.434123, 125.6806
 
1.039999, -0.2064672, -0.02313974, 50.72699, 11.8942, 1.129976885491879321568, 1320.799, -1370.14, -5.408932, 0.0268742, 0.1849792, 47.13865, 3.10966, 2.433192, 125.7277
 
1.049999, -0.2082662, -0.02520441, 51.26862, 11.90642, 1.113813352192567124000, 1355.604, -1370.901, -5.408932, 0.0268742, 0.1849792, 47.75663, 3.10966, 2.432262, 125.7749
 
1.059999, -0.2099891, -0.02728707, 51.80981, 11.91739, 1.097805853513392769536, 1390.88, -1371.663, -5.408932, 0.0268742, 0.1849792, 48.37496, 3.10966, 2.431331, 125.8221
 
1.069999, -0.2116324, -0.02938696, 52.35313, 11.92963, 1.081944056035804083136, 1426.629, -1372.426, -5.408932, 0.0268742, 0.1849792, 48.99366, 3.10966, 2.4304, 125.8693
 
1.079999, -0.2131926, -0.03150329, 52.896, 11.94061, 1.066214526315683237248, 1462.849, -1373.19, -5.408932, 0.0268742, 0.1849792, 49.61272, 3.10966, 2.42947, 125.9165
 
1.089999, -0.2146659, -0.03363521, 53.44098, 11.95286, 1.050607964276333274336, 1499.542, -1373.955, -5.408932, 0.0268742, 0.1849792, 50.23212, 3.10966, 2.42854, 125.9636
 
1.099999, -0.2160494, -0.03578187, 53.98553, 11.96385, 1.035111969815491584352, 1536.71, -1374.721, -5.408932, 0.0268742, 0.1849792, 50.8519, 3.10966, 2.427609, 126.0108
 
1.109999, -0.2173387, -0.03794236, 54.53219, 11.97611, 1.0197167261855336010080, 1574.353, -1375.489, -5.408932, 0.0268742, 0.1849792, 51.47203, 3.10966, 2.426678, 126.058
 
1.119999, -0.2185308, -0.04011575, 55.07841, 11.98711, 1.0044138633174320625216, 1612.47, -1376.257, -5.408932, 0.0268742, 0.1849792, 52.09252, 3.10966, 2.425748, 126.1052
 
1.129999, -0.2196214, -0.04230106, 55.62674, 11.99938, 0.9891945978054176201088, 1651.062, -1377.026, -5.408932, 0.0268742, 0.1849792, 52.71335, 3.10966, 2.424817, 126.1524
 
1.139999, -0.2206073, -0.04449727, 56.17463, 12.01039, 0.9740499395753498814848, 1690.131, -1377.797, -5.408932, 0.0268742, 0.1849792, 53.33454, 3.10966, 2.423887, 126.1995
 
1.149999, -0.2214845, -0.04670334, 56.72462, 12.02268, 0.9589730685709844111232, 1729.676, -1378.568, -5.408932, 0.0268742, 0.1849792, 53.95609, 3.10966, 2.422956, 126.2467
 
1.159999, -0.2222495, -0.04891819, 57.27417, 12.0337, 0.9439547880498097732384, 1769.697, -1379.34, -5.408932, 0.0268742, 0.1849792, 54.57795, 3.10966, 2.422025, 126.2939
 
1.169999, -0.222898, -0.05114068, 57.82583, 12.046, 0.9289899313025509136522552175, 1810.197, -1380.114, -5.408932, 0.0268742, 0.1849792, 55.20017, 3.10966, 2.421095, 126.3411
 
1.179999, -0.2234271, -0.05336966, 58.37769, 12.05767, 0.9140716782729592634709447825, 1851.175, -1380.888, -5.408932, 0.0268742, 0.1849792, 55.82275, 3.10966, 2.420164, 126.3882
 
1.189999, -0.2238321, -0.05560393, 58.92973, 12.0687, 0.8991915555578272058709447825, 1892.631, -1381.664, -5.408932, 0.0268742, 0.1849792, 56.44566, 3.10966, 2.419234, 126.4354
 
