0,1.677
0.025,0.518
0.05,0.487
0.075,0.484
0.1,0.482
0.125,0.481
0.15,0.48
0.175,0.481
0.2,0.481
0.225,0.482
0.25,0.483
0.275,0.484
0.3,0.485
0.325,0.485
0.35,0.487
0.375,0.488
0.4,0.489
0.425,0.49
0.45,0.492
0.475,0.493
0.5,0.495
0.525,0.496
0.55,0.498
0.575,0.5
0.6,0.502
0.625,0.504
0.65,0.506
0.675,0.508
0.7,0.51
0.725,0.512
0.75,0.515
0.775,0.517
0.8,0.52
0.825,0.522
0.85,0.525
0.875,0.528
0.9,0.531
0.925,0.534
0.95,0.537
0.975,0.544
1,0.551
1.025,0.555
1.05,0.558
1.075,0.558
1.1,0.557
1.125,0.555
1.15,0.552
1.175,0.55
1.2,0.548
1.225,0.545
1.25,0.542
1.275,0.54
1.3,0.537
1.325,0.535
1.35,0.532
1.375,0.53
1.4,0.527
1.425,0.524
1.45,0.52
1.475,0.517
1.5,0.513
1.525,0.51
1.55,0.507
1.575,0.503
1.6,0.5
1.625,0.496
1.65,0.493
1.675,0.489
1.7,0.485
1.725,0.482
1.75,0.478
1.775,0.475
1.8,0.471
1.825,0.468
1.85,0.465
1.875,0.461
1.9,0.458
1.925,0.455
1.95,0.451
1.975,0.448
2,0.445
2.025,0.442
2.05,0.439
2.075,0.436
2.1,0.433
2.125,0.431
2.15,0.428
2.175,0.425
2.2,0.422
2.225,0.42
2.25,0.417
2.275,0.414
2.3,0.412
2.325,0.409
2.35,0.406
2.375,0.404
2.4,0.401
2.425,0.399
2.45,0.396
2.475,0.394
2.5,0.392
2.525,0.389
2.55,0.387
2.575,0.385
2.6,0.382
2.625,0.38
2.65,0.378
2.675,0.376
2.7,0.374
2.725,0.371
2.75,0.369
2.775,0.367
2.8,0.365
2.825,0.363
2.85,0.361
2.875,0.359
2.9,0.358
2.925,0.356
2.95,0.354
2.975,0.352
3,0.35
